state,ViolentCrimesPerPop
FL,11.1
LA,8.7
NC,61.28
FL,0
SC,10.07
NC,7.46
FL,0
LA,18.19
SC,9.43
SC,5.66
FL,22.1
GA,0
SC,4.66
FL,49.46
LA,12.7
FL,73.82
LA,19.76
NC,43.57
FL,4.25
GA,6.56
FL,0
LA,0
FL,11.54
FL,26.11
GA,83.78
FL,8.59
NC,46.97
LA,55.41
FL,20.29
SC,10.61
GA,22.51
AL,118.46
FL,0
FL,0
SC,43.37
GA,2.42
FL,8.11
FL,43.45
FL,25.09
SC,0
GA,29.96
NC,15.94
FL,11.97
FL,20.73
LA,0
FL,26.68
AL,12.34
FL,8.3
FL,89.84
NC,24.68
FL,54.77
FL,0
NC,53.21
NC,11.87
AL,7.09
FL,10.49
NC,13.77
FL,13.29
MD,0
LA,32.87
LA,19.21
NC,37.94
MD,40.46
AL,0
NC,104.92
MD,211.74
SC,0
GA,0
DE,37.68
AL,9.65
GA,34.14
SC,0
SC,0
LA,68.99
NC,81.8
FL,2.49
MD,29.51
MD,88.94
NC,45.93
NC,0
GA,53.27
SC,16.2
FL,23.93
NC,63.69
SC,0
SC,0
GA,25.45
GA,55.34
NC,12.04
SC,12.92
FL,0
FL,10.38
GA,0
NC,26.2
SC,21.82
NC,71.49
NC,50.89
SC,0
AL,25.23
SC,12.45
FL,0
NC,42.39
MD,76.52
FL,28.74
FL,10.69
SC,3.63
FL,39.34
NC,49.49
MD,102.85
FL,29.44
GA,59.67
NC,39.66
AL,24.51
GA,17.84
FL,4.63
FL,8.3
FL,34.29
NC,11.31
GA,3.91
GA,0
FL,0
NC,18.65
FL,21.82
NC,56.34
LA,0
LA,50.52
FL,44.07
GA,8.61
NC,35.25
NC,15.97
FL,48.21
NC,72.61
GA,0
SC,0
NC,28.5
FL,10.51
FL,10.86
SC,2.6
NC,61.65
GA,40.38
GA,38.96
NC,76.85
FL,14.43
FL,40.63
GA,51.16
FL,21.82
FL,44.19
GA,8.72
NC,29.51
SC,0
GA,44.62
GA,24.17
FL,16.51
MD,54.14
AL,79.42
GA,32.27
SC,0
FL,0
GA,36.07
GA,10.87
FL,13.14
GA,0
FL,14.53
LA,2.73
FL,0
GA,0
NC,12.23
NC,0
NC,0
FL,0
SC,24.75
FL,26.88
SC,8
FL,26.51
AL,35.81
FL,15.99
FL,71.15
NC,34.53
FL,23.59
GA,69.11
FL,24.35
FL,6.18
FL,0
NC,33.95
DC,36.1
AL,52.59
AL,98.45
SC,0
LA,0
MD,25.52
GA,61.33
FL,38.48
GA,34.29
SC,36.25
FL,56.98
GA,35.02
FL,29.43
FL,38.11
AL,9.03
FL,18.13
FL,20.01
NC,18.92
LA,25.1
SC,0
FL,16.55
FL,9.08
FL,6.76
FL,37.72
FL,8.16
FL,0
FL,70.5
NC,5.06
FL,10.52
FL,25.43
FL,10.9
FL,46.26
GA,0
AL,17.02
NC,65.19
AL,37.74
FL,49.23
LA,39.98
NC,13.96
FL,26.92
FL,15.81
NC,69.02
NC,65.32
SC,18.48
FL,9.86
AL,35.52
FL,7.14
LA,0
FL,28.41
LA,110.55
NC,48.09
FL,14.38
FL,14.44
NC,99.67
GA,2.05
FL,12.49
NC,38.93
FL,43.29
GA,43.44
FL,39.02
GA,0
AL,0
LA,16.55
